384204031	2020-12-14T23:08:22.000Z	1338621885844602881	Who tf goes to the gym twice in one day? Of yeah that’s right, me	{'place_id': 'b0b79caecef59fb5'}
335991846	2020-12-14T18:17:24.000Z	1338548662297714688	as a kid i went to church w katy perry’s parents and they were always saying shit like “we don’t condone the fact that she kissed a girl and liked it”	{'place_id': '3b77caf94bfc81fe'}
3134249686	2020-12-14T17:40:36.000Z	1338539401060655105	No my cousin didn't try to set me up on a date wit her friend🤣...and also Good morning Gems! 	{'place_id': '3b77caf94bfc81fe'}
2439092689	2020-12-14T16:29:00.000Z	1338521379306491910	Zayn Malik missed his younger sister Waliyha's wedding, and was nowhere to be seen in snaps from the nuptialsIt's claimed 'nobody is happy' about her marrying the ex-convict, Zayn's girlfriend Gigi sent a sweet message to Waliyha, after she was not able to attend the wedding 	{'place_id': 'e6fc035b8939bd3b'}
473384312	2020-12-14T16:27:50.000Z	1338521089425600512	“cheap wedding rings” 	{'place_id': '3b77caf94bfc81fe'}
1279493859853037568	2020-12-14T14:42:21.000Z	1338494542039764992	Have you start planning the Wedding  yet? are you having the 0D boys as groomsmen? 	{'place_id': 'bcd6f5a92e969e33'}
150015656	2020-12-14T09:43:58.000Z	1338419450526068738	  Pops I’m coming to the gym lol	{'place_id': '3b77caf94bfc81fe'}
1009577982	2020-12-14T07:39:18.000Z	1338388078650478593	Im taking myself on a date to nobu	{'place_id': '3b77caf94bfc81fe'}
215090689	2020-12-14T06:51:57.000Z	1338376159898206209	I never understood the way people eat out of trash when they hungry that part gets me everytime	{'place_id': '59612bd882018c51'}
278935379	2020-12-14T06:05:19.000Z	1338364428014608388	Congrats![My dad cried like a baby at my wedding. Not at the church, but at the reception. When he was handed the bill.] 	{'place_id': '3b77caf94bfc81fe'}
965712732904349698	2020-12-14T05:13:22.000Z	1338351353890926593	I just wanna take someone’s daughter on a date :((((((	{'place_id': '07d9f5c300c83000'}
1467496964	2020-12-14T04:58:56.000Z	1338347720059174914	I really miss physically going to church... like the fellowship, the raw emotions from worshiping Jesus, etc. I miss it so much 🙏🏾❤️😭	{'place_id': '3b77caf94bfc81fe'}
505252335	2020-12-14T04:57:24.000Z	1338347335730909184	  Oh. You mean all those A list Celebs who never would have given her the time of day before she met Harry? The ones who didn't even know her but came because it was a big deal to be invited to a Royal Wedding? 🤣🤣🤣Yeah. Those people.	{'place_id': '01c060cf466c6ce3'}
1057156424835297280	2020-12-14T04:45:44.000Z	1338344400183652353	Lucas and I have officially been invited to our first 0 wedding....	{'place_id': '0c2e6999105f8070'}
19331513	2020-12-14T04:20:16.000Z	1338337988162408448	0th year wedding anniversary vibes. enjoy the looks 😎 I love you,  🤎 🤍 🖤 	{'place_id': '3b77caf94bfc81fe'}
20106657	2020-12-14T03:31:06.000Z	1338325617381535748	 And it’s been equally frustrating to see people half ass it. Wife’s niece and her husband drove from S. Carolina to Colorado for a wedding “to stay safe” only to pick it up at giant wedding.	{'place_id': '3b77caf94bfc81fe'}
433886327	2020-12-14T03:16:01.000Z	1338321822379429889	Damn, I miss going to the movies 😔 	{'place_id': 'c2ad98c80a97adde'}
81965017	2020-12-14T02:18:55.000Z	1338307449447596032	 On the consumer side, we used  to offset my wedding’s carbon footprint and had the option of projects to pick. We went with a wind farm in Oklahoma. I’m always wary of offsets, but if there is true additionally it seems like a great tool!	{'place_id': '3b77caf94bfc81fe'}
2599917181	2020-12-14T02:00:17.000Z	1338302761415294980	This nigga make me wanna take him out on a date type shit💀😭 I miss him🥺 but I don’t wanna talk to him😒	{'place_id': 'd563cf7307e4ba95'}
18393950	2020-12-14T01:02:59.000Z	1338288343264575488	Our friend moved to Rome. When she got married, a group went for her wedding. The trip was incredible. Recently, we’ve been sharing photos/updates via Whats App. Showed our trees 🎄etc. Today our friend’s daughter gave us a video tour of their Nativity display. My ♥️! 	{'place_id': '01c060cf466c6ce3'}
133512266	2020-12-14T00:46:37.000Z	1338284221039702016	Sheeesh  just took me to church on a Sunday! 🙌🏽	{'place_id': '3b77caf94bfc81fe'}
28449441	2020-12-17T23:48:39.000Z	1339719187573293056	  Supreme Court said if you scared go to church	{'place_id': 'cce33d74ceffbe08'}
68077098	2020-12-17T23:43:41.000Z	1339717938698326016	 It's not my fault once I read I'm 0 and haven't been on a date i lost it lol 🤣	{'place_id': '3b77caf94bfc81fe'}
3665987533	2020-12-17T23:25:22.000Z	1339713327480487936	and then the guy i went on a date with that was furious i didn’t like his tame impala playlist	{'place_id': '10de09f288b1665c'}
1104950878060965888	2020-12-17T23:11:25.000Z	1339709817284218880	 Costume wedding for sure	{'place_id': 'a75bc1fb166cd594'}
765749024146071552	2020-12-17T23:05:02.000Z	1339708208214994944	Hate it when I wear a cute outfit to the gym and none of my gym baes are there 🥲	{'place_id': '341aa0cdb944022e'}
41698394	2020-12-17T21:46:49.000Z	1339688525168476160	 Bruh. If someone invited me to a party right now... instant block.	{'place_id': '3b77caf94bfc81fe'}
27895757	2020-12-17T21:34:39.000Z	1339685463464898560	Idk if I should go to the gym rn being this cold since the shit outside now. That’s how niggas get sick smh	{'place_id': '853e23ffbf7f0201'}
2620850336	2020-12-17T21:04:48.000Z	1339677952519196672	It really would’ve been nice if 0 took me out for a drink before it fucked me like this 🙃	{'place_id': 'f8f8ee516109ee0e'}
3866465472	2020-12-17T20:35:48.000Z	1339670654249959424	The wedding nightmares have started 😞😂	{'place_id': '0c2e6999105f8070'}
68077098	2020-12-17T19:52:01.000Z	1339659637516222464	Yo there are women out there that have been nutted in. Have had children and are in their late 0's, but haven't been on a date. Got cummed in but haven't even been to dinner in a movie shits wild.	{'place_id': '3b77caf94bfc81fe'}
177539058	2020-12-17T19:16:00.000Z	1339650572866052097	Visit to the mall today 	{'place_id': 'c84cc6061e2af8da'}
2335816280	2020-12-17T18:37:40.000Z	1339640923194462209	Good for them.   I’m in a rush to plan my imaginary wedding.  😜 	{'place_id': '3b77caf94bfc81fe'}
742354462518312961	2020-12-17T16:51:58.000Z	1339614323832864768	 Wedding industrial complex	{'place_id': '3b77caf94bfc81fe'}
87030041	2020-12-17T16:48:37.000Z	1339613483441123328	I can’t believe I’m saying this but I really miss going to the gym	{'place_id': '01c060cf466c6ce3'}
35537931	2020-12-17T16:01:22.000Z	1339601588910870528	I’ve watched The Office series all the way through atleast 0 times.. and I cry happy tears every time at Jim & Pams wedding.  why are you taking this away from me?!	{'place_id': '59612bd882018c51'}
118838046	2020-12-17T10:35:47.000Z	1339519655338074114	Aint no way I’m working 0 hours and coming home on my one off day and wanting to take a girl on a date.	{'place_id': '6f24e28976abe656'}
34679503	2020-12-17T06:45:42.000Z	1339461753894182912	Julia just said she wanted fettuccine on our wedding night, but I think she means like after the wedding when we’re supposed to be having sex	{'place_id': '3b77caf94bfc81fe'}
311256242	2020-12-17T06:18:34.000Z	1339454924141150208	OMG AM I REALLY PLANNING MY WEDDING?! 😭	{'place_id': '3b77caf94bfc81fe'}
311256242	2020-12-17T06:18:08.000Z	1339454815529627650	Wedding theme is very much traditional elegance. Black tie, gowns, cathedral, champagne and all things glam 🥂	{'place_id': '3b77caf94bfc81fe'}
311256242	2020-12-17T06:16:14.000Z	1339454336762400769	We just booked the most glam wedding venue. I can’t wait 🥰💗🍾	{'place_id': '3b77caf94bfc81fe'}
1450732308	2020-12-18T23:19:42.000Z	1340074287923777536	"hey I heard you went on a date with ol' BJ Blanna...does she have a sister?Maybe she could introduce me to psycho seska or ""kinetic Kes... she can give u hummer from the next room!"	{'place_id': '3b77caf94bfc81fe'}
1334371809790021633	2020-12-18T22:53:59.000Z	1340067816708325376	Back to the gym Life !!! Excited!!	{'place_id': '3b77caf94bfc81fe'}
707994313	2020-12-18T22:47:29.000Z	1340066182594875392	0/0/0 the day we got officially  we’re beyond stoked and cannot wait until fall 0 to have our  wedding.  	{'place_id': '07d9ec8528888002'}
63616699	2020-12-18T22:14:18.000Z	1340057832201224192	I’m a healthcare worker, I’ve been lucky enough to not get covid from my patients and i’m not about to get it from strangers while i go shopping for my monthly groceries	{'place_id': '3b77caf94bfc81fe'}
48927206	2020-12-18T21:58:02.000Z	1340053737159606273	I have two wedding dresses for a reason 😘 Reception/vow renewal TBA ✨	{'place_id': '3b77caf94bfc81fe'}
2829421994	2020-12-18T21:12:39.000Z	1340042317244280835	This is one of my favorite wedding reception photos. I can’t wait until we can party like this again! @ The Odyssey Restaurant and Event Center 	{'place_id': '3b77caf94bfc81fe', 'coordinates': {'type': 'Point', 'coordinates': [-118.47311815, 34.28248561]}}
730178587	2020-12-18T19:44:45.000Z	1340020196728193025	if you with me we will rarely eat out. i love cooking too much	{'place_id': '3b77caf94bfc81fe'}
30772359	2020-12-18T19:35:30.000Z	1340017865488015363	Walking uphill in a nice outfit to a party with your longtime crush...what could go wrong???🎄 DRESSED TO IMPRESS is LIVE!Link in bio. @ Hollywood, California 	{'place_id': '3b77caf94bfc81fe', 'coordinates': {'type': 'Point', 'coordinates': [-118.33150864, 34.10142871]}}
284910445	2020-12-18T19:17:49.000Z	1340013414874107904	this gone be me at my daughter wedding 	{'place_id': '3b77caf94bfc81fe'}
61870574	2020-12-18T18:22:23.000Z	1339999468247085063	How about don’t throw a wedding during the pandemic. Boom. Problem solved. 	{'place_id': '10de09f288b1665c'}
195629435	2020-12-18T18:08:26.000Z	1339995954032881664	Thankful, Grateful and Blessed . Celebrating our 0th Wedding Anniversary 💞🙏🏼♥️.           	{'place_id': 'fbd6d2f5a4e4a15e', 'coordinates': {'type': 'Point', 'coordinates': [-118.2539, 34.1465]}}
19547514	2020-12-18T17:13:52.000Z	1339982225287249921	Definitely going back to the gym today, gained weight last week. This is ridiculous.	{'place_id': '3b77caf94bfc81fe'}
315334779	2020-12-18T15:59:54.000Z	1339963609611264000	 My sister started the trend... in the late 0s. Everyone’s late to the party.	{'place_id': '3b77caf94bfc81fe'}
240047568	2020-12-18T07:58:05.000Z	1339842358100127744	someone i know is really trying to get people to come to a party of hers by saying the cheese boards have a “social distancing type vibe”wh—what????	{'place_id': '3b77caf94bfc81fe'}
314429691	2020-12-18T07:41:34.000Z	1339838199883939840	*so I can have a wedding 😂😭🥺 	{'place_id': 'c84cc6061e2af8da'}
600715033	2020-12-18T06:22:23.000Z	1339818274196869120	Drinking tierra mia right now was a bad idea I gotta go to the gym at 0am...Might bust an all nighter since im cracked on coffee 😂	{'place_id': '2c1b78093786a74a'}
21152813	2020-12-18T06:21:08.000Z	1339817956495114241	  Yes I think it’s way more of that than 0% capacity in stores. People are still having maskless get-together and flaunting it on IG	{'place_id': '3b77caf94bfc81fe'}
1102571142965911554	2020-12-18T06:15:03.000Z	1339816428694687744	i just want to go on a date and watch the sunset and have a good ass convo	{'place_id': '3b77caf94bfc81fe'}
764996818694316032	2020-12-18T06:00:19.000Z	1339812720707661824	 Welcome to the party. The premise is before your time but it still works.	{'place_id': '3b77caf94bfc81fe'}
21978899	2020-12-18T05:46:09.000Z	1339809155423424512	Sitting here eating kale chips in the evening I recall a night I went to a party in a Bushwick loft & the hallways smelled of farts bc there was an artisanal kale chip factory in one of the lofts at the apex of kale popularity	{'place_id': '3b77caf94bfc81fe'}
449181827	2020-12-18T04:21:24.000Z	1339787827781898241	Late to the party but guys,  is perfection. I just love it SO MUCH.	{'place_id': '3b77caf94bfc81fe'}
18608484	2020-12-18T02:43:09.000Z	1339763100556251136	 wtf? It’s a damn pandemic. I can’t see my mom. How tf you you rationalize going on a date period?	{'place_id': '3b77caf94bfc81fe'}
1363658323	2020-12-18T02:24:23.000Z	1339758377602170880	0 day in the row going shopping for Xmas gift and haven’t gotten shit but for myself 🤣	{'place_id': '9da8666a1bd226d8'}
775094212702318593	2020-12-18T01:44:48.000Z	1339748416117563393	The state reports that the Southern California region has 0% ICU capacity remaining But hey... at least we can still go to the mall, right?	{'place_id': 'd563cf7307e4ba95'}
757338385174323201	2020-12-18T01:29:37.000Z	1339744597178642433	I’m in tha mood to go shopping this ain’t good😳	{'place_id': '6f24e28976abe656'}
38614800	2020-12-18T01:22:30.000Z	1339742806085050368	SPOILER ALERT!!!!But the episode of Schmidt and Cece’s wedding 😭❤️ 	{'place_id': '7183cae332544afd'}
348613247	2020-12-18T00:42:56.000Z	1339732845959421953	I never seen people so desperate to eat out smh. 	{'place_id': '3b77caf94bfc81fe'}
603259282	2020-12-18T00:38:19.000Z	1339731686569824256	Bro the way Who’s trains goku and vegeta is like that one time I went to the gym with Miguel and chocha threw up lmfaoooo	{'place_id': '00b028b400039d97'}
322065271	2020-12-18T00:00:37.000Z	1339722198139904000	  Jesus turned water into wine in front of everybody at a wedding (allegedly)... he def would’ve clout chased	{'place_id': '3b77caf94bfc81fe'}
15386891	2020-12-19T22:32:36.000Z	1340424823239966720	My favorite Haunted Wedding we talked about last week on The Weekly Creepy. 	{'place_id': '3b77caf94bfc81fe'}
198420647	2020-12-19T22:09:55.000Z	1340419115043852288	These MFs knew they were sick and went to church hugging ppl??? 	{'place_id': '3b77caf94bfc81fe'}
1306743443872382977	2020-12-19T21:57:55.000Z	1340416095132344320	Today is just one of those days, you know. Present at an ordination this morning. About to finish planning a wedding. Then I’m going to hear some Confessions. Finally, get to baptize and confirm some people (who’ve been waiting since Easter!).	{'place_id': 'a75bc1fb166cd594'}
947881294595104768	2020-12-19T21:36:07.000Z	1340410609947402245	Happy and Blessed 0rd Wedding Anniversary Pastors  and  May God continue to richly bless you with a prosperous and anointed marriage. Thank you for being such a godly example and blessing to us all. We Love You!  	{'place_id': '3b77caf94bfc81fe'}
1064606684637622272	2020-12-19T21:12:09.000Z	1340404579196760064	In a time like this Christmas is not essential everything that people come here to the mall to get they can order online 	{'place_id': 'a75bc1fb166cd594'}
384645729	2020-12-19T20:21:48.000Z	1340391907990507523	Need to wash my car, go shopping and fold laundry so naturally I'm taking a nap instead	{'place_id': '4db990e393c2e28b'}
820868004258775040	2020-12-19T18:43:32.000Z	1340367178101493761	oh u trynna go on a date date 🤔 ok	{'place_id': '3b77caf94bfc81fe'}
119877239	2020-12-19T15:35:37.000Z	1340319887718158336	I want to get married in Guadalajara. This girl I follow is at a wedding in Mazatlán and it looks sooo cute!	{'place_id': '3b77caf94bfc81fe'}
842166131553058816	2020-12-19T15:08:10.000Z	1340312980076949512	" I want to take your firearms. They serve only 0 purpose--killing. If you have your firearms for ""hobby shooting,"" you need to find a better hobby! Deaths by firearms & mass murders are a huge problem in our nation. So, welcome to the party. Give your guns to the police."	{'place_id': '26595dca9d293375'}
92359562	2020-12-19T15:07:05.000Z	1340312704796434432	 My uncle took me to the movies to see that	{'place_id': '3b77caf94bfc81fe'}
198420647	2020-12-19T10:11:16.000Z	1340238262456107009	I was going to a concert 	{'place_id': '3b77caf94bfc81fe'}
46339370	2020-12-19T06:47:32.000Z	1340186989597843462	See you at the wedding daw! 😭😭😭 	{'place_id': '3b77caf94bfc81fe'}
30037319	2020-12-19T06:15:24.000Z	1340178903235608576	I feel like Flash has the charm, humor and spontaneity to be a great host PLUS his superpower makes for next level set up and pop around party/socialization AND clean up skills.He’d be late to the party but it’d be bitchin one 	{'place_id': '3b77caf94bfc81fe'}
913235310028365824	2020-12-19T05:54:25.000Z	1340173623332536322	  Did Trump go to church for good Friday? Easter? Xmas eve? Christmas???	{'place_id': '01c060cf466c6ce3'}
913235310028365824	2020-12-19T05:42:19.000Z	1340170576187408385	  Wut?? Biden went to church today to pray for his 0st wife and kid that died in an accident years ago. When is the last time you saw Trump kneel before GOD in prayer???	{'place_id': '01c060cf466c6ce3'}
1304101925197996033	2020-12-19T05:34:33.000Z	1340168621914431489	i aint been on a date since july/august 0 god damn	{'place_id': '0c2e6999105f8070'}
1735621393	2020-12-19T05:32:59.000Z	1340168229562413059	 Today was supposed to be our wedding. We ordered in Vietnamese and listened to podcasts because we canceled the wedding 0 months ago due to not wanting to kill our loved ones	{'place_id': '3b77caf94bfc81fe'}
1145458841309437952	2020-12-19T04:15:32.000Z	1340148736941412354	I’m a movie person and lately well las year that we went to the movies almost the whole year I notice most of the movies we saw had Chinese associates 	{'place_id': '3b77caf94bfc81fe'}
3661528334	2020-12-19T04:01:34.000Z	1340145221363896323	my dumbass forgot I was going to the gym so I missed my exit 0 minutes out, it was a sign I shouldn’t have gone	{'place_id': 'c84cc6061e2af8da'}
196455223	2020-12-19T02:13:03.000Z	1340117914951696385	Left the branch at 0 to the mall (should’ve took 0 min but took an hour) and I told my co workers I’ll be back before branch closing (0). I didn’t get back until 0:0 😭 😂 AND I had to pee so fucking bad in the way back. Pulled over pissed on a bush	{'place_id': '3b77caf94bfc81fe'}
9017192	2020-12-19T01:57:49.000Z	1340114081395535873	 Both look great - for a wedding maybe the green one	{'place_id': '3b77caf94bfc81fe'}
21808431	2020-12-19T01:42:45.000Z	1340110288046018560	 I’m so sorry Kimmi!  Thats horrible.   That’s how my dad passed when one of the caregivers went to a party and brought it to the assisted living facility.  It’s the messaging of the government that put us here.  My thoughts are with you!  ❤️	{'place_id': '3b77caf94bfc81fe'}
716872353309794305	2020-12-19T00:48:56.000Z	1340096745032744960	And then, supposedly, like “everybody. . . “ the “fucks” edition. But uggh. You should see. You should shit more, for real squirrels, sort of thing. Some people. I was on a date, in my moment, of like, a second. Or so. But then, a guy, sort of thing. It gets weird as . . stuff.	{'place_id': '3b77caf94bfc81fe'}
369064945	2020-12-19T00:44:35.000Z	1340095650642313216	0 wasn’t all bad. I got to go on a date with a girl who had the word “wicked” as a part of her normal vocabulary.	{'place_id': '3b77caf94bfc81fe'}
24179143	2020-12-19T00:25:10.000Z	1340090765590945792	I just advised a friend who lent her Manolos to another friend for that friend’s wedding who broke the soles: Whatever happens, dont Mr Quickie a Manolo! 😭	{'place_id': '0c2e6999105f8070'}
373778954	2020-12-20T23:44:51.000Z	1340805393870536704	My wedding proposal to LSFG 👙 	{'place_id': '3b77caf94bfc81fe'}
31012005	2020-12-20T22:49:43.000Z	1340791520505470977	I wanna go on a date to the flower district 🥺	{'place_id': '3b77caf94bfc81fe'}
1269361601359908864	2020-12-20T22:38:02.000Z	1340788580625522690	Ugh Nicky in Big Fat Greek Wedding the brother can fucking get it	{'place_id': '3134f9d2892d2685'}
1205487883	2020-12-20T22:26:23.000Z	1340785645808062464	My parents marriage was perfect, my dad asked my mom to get married and the next day they just went to the court, no wedding or nada	{'place_id': '97290292acb29ff8'}
118211215	2020-12-20T22:16:35.000Z	1340783179859292161	i miss going to the gym 😢	{'place_id': '3b77caf94bfc81fe'}
1269361601359908864	2020-12-20T22:02:31.000Z	1340779638688108545	I love My Big Fat Greek Wedding lmao	{'place_id': '3134f9d2892d2685'}
247392220	2020-12-20T21:37:43.000Z	1340773397664591872	[Me And My Pop's For  Wedding!!!]     @ Los Angeles, California 	{'coordinates': {'type': 'Point', 'coordinates': [-118.2445, 34.0564]}, 'place_id': '3b77caf94bfc81fe'}
1263154465336553473	2020-12-20T20:50:47.000Z	1340761590165983232	The Micro Wedding of Esthela and Javier last night in Whittier 	{'place_id': 'f8f8ee516109ee0e'}
1098839386089611264	2020-12-20T20:30:18.000Z	1340756433680302081	Hi someone please come drink mimosas with me while getting ready to go shopping. Thankyou 🥰😘	{'place_id': '3b77caf94bfc81fe'}
1240024417410793472	2020-12-20T20:02:27.000Z	1340749424016801792	 LET ME KNOW AND I WILL THROW ON MY JOCK STRAP AND WE'LL GO SHOPPING FOR LAUGHS HOTS.	{'place_id': 'ef74afb7ccba74d6'}
1213265660203028480	2020-12-20T20:00:28.000Z	1340748925725097989	This what I say everytime somebody ask me if im going to a party. I be like “im in that bitch like a tampon!” lol 	{'place_id': '3b77caf94bfc81fe'}
19373610	2020-12-20T19:44:54.000Z	1340745007095980032	 🤣 Mine was Emma so at least I don't need to be embarrassed.  Last concert was Tame Impala so ditto. I miss going to the movies so much.	{'place_id': '6f24e28976abe656'}
130749613	2020-12-20T19:03:38.000Z	1340734623240708096	 The Royal Wedding AND The Royal Baby!!	{'place_id': '3b77caf94bfc81fe'}
458712275	2020-12-20T18:59:11.000Z	1340733502027833344	Do you already have your wedding song picked out or are you normal? Haha	{'place_id': '341aa0cdb944022e'}
277850760	2020-12-20T18:44:35.000Z	1340729829382078464	Picking up carne to bbq at my boys gdub IKEA Rams (@ La Reina Market  in Orange, CA)  	{'coordinates': {'type': 'Point', 'coordinates': [-117.83522237, 33.80256093]}, 'place_id': '20ba6fb3b1ee82da'}
145882152	2020-12-20T18:10:08.000Z	1340721157939466240	Damn covid. I was supposed to be in Vegas at the family condo this week for Christmas. I lma miss going shopping at the Fashion Show Mall the day after Christmas. 💔	{'place_id': '0fc6568d145d84ac'}
114676044	2020-12-20T17:51:51.000Z	1340716556913807361	  What does someone need? I can go shopping today.	{'place_id': '3b77caf94bfc81fe'}
183855868	2020-12-20T17:36:47.000Z	1340712766886309888	Fashion Show Archives 0Wedding Show 0The London West Hollywood   # bridal     # @ The London West Hollywood at Beverly Hills 	{'coordinates': {'type': 'Point', 'coordinates': [-118.38503748, 34.08967218]}, 'place_id': '1927193c57f35d51'}
941293891700998144	2020-12-20T17:28:46.000Z	1340710750201946112	Taking my mom out on a  0st stop 	{'place_id': '2da132a7bfebfc0c'}
195111199	2020-12-20T16:07:17.000Z	1340690243368828928	If you’ve gone to the mall for gifts this year you’re deranged.	{'place_id': '3b77caf94bfc81fe'}
3863521895	2020-12-20T15:52:36.000Z	1340686548912594945	0 years ago. I invited a girl on a date to make ginger bread houses. Was my first time. We never got in a relationship. Never kissed or had sex or nun. We are pretty cool til this day. 😊	{'place_id': '3b77caf94bfc81fe'}
3316342663	2020-12-20T14:56:12.000Z	1340672355295621120	Yo I miss going to the gym😕	{'place_id': '741e9df4d2522275'}
996969062746882049	2020-12-20T11:49:06.000Z	1340625269166489602	I can't wait to dance at my own wedding	{'place_id': '0c2e6999105f8070'}
121853995	2020-12-20T09:49:11.000Z	1340595091493117952	  Went to a party where Em performed that basically had same vibe. I still get chills when I think about it	{'place_id': '3b77caf94bfc81fe'}
2872194229	2020-12-20T05:39:53.000Z	1340532353156804608	Profit over people. ICU beds at 0% but yeah let’s go shopping 🤦🏻‍♀️  	{'place_id': '3b77caf94bfc81fe'}
4221997640	2020-12-20T04:44:37.000Z	1340518444484026369	 Wow, Tony and Tina's Wedding would be quite an enormous job to stage manage! Double shout out go you and your colleagues!	{'place_id': '3b77caf94bfc81fe'}
763498399068925952	2020-12-20T04:29:17.000Z	1340514586022178820	 Your state should convene a conference to remove you from office. Go to Church, then go to work!	{'place_id': '01c060cf466c6ce3'}
79797506	2020-12-20T04:27:35.000Z	1340514156605104128	I’m down 0lbs & told myself I wouldn’t eat out till I’m down 0lbs. But wingstop sounds sooooo good right now 😭	{'place_id': '07dccb89e8f25a8f'}
35393111	2020-12-20T04:20:33.000Z	1340512387007320071	 I’m not shooting a wedding. I am shooting the bride only.	{'place_id': '01c060cf466c6ce3'}
2977550299	2020-12-20T04:17:41.000Z	1340511667315122179	Please play Muscle Cars at my wedding as I walk into my reception  	{'place_id': '3b77caf94bfc81fe'}
154416309	2020-12-20T03:19:57.000Z	1340497139365859330	Yo this shit is dope. U can for real have a party playing just their music. 	{'place_id': '3b77caf94bfc81fe'}
116101777	2020-12-20T03:00:26.000Z	1340492227491971074	These are DEFINITELY numbers telling us it’s okay to allow indoor religious services right before the one holiday everyone goes to church for. 	{'place_id': '3b77caf94bfc81fe'}
421360494	2020-12-20T02:45:27.000Z	1340488456179314690	If you went to a party at the WheelHouse in Hemet. You don’t need to worry about what’s in the vaccine.	{'place_id': '341aa0cdb944022e'}
17829822	2020-12-20T02:18:27.000Z	1340481661763383296	I made up my mind when I was 0 I ain’t having no baby without a wedding ring	{'place_id': '3b77caf94bfc81fe'}
15476831	2020-12-20T02:15:48.000Z	1340480992205684737	I miss going to A Bar	{'place_id': '3b77caf94bfc81fe'}
31498484	2020-12-20T01:57:26.000Z	1340476372897054721	Shake that monkey will be played at my wedding.	{'place_id': '3b77caf94bfc81fe'}
80966592	2020-12-20T01:26:00.000Z	1340468461307265025	Hey  people a reminder that BCPC is having a meetup at 0:0! All virtual on Discord (check the FB event for link).The timing of this one is loosely for the west coast crowd, but all are welcome! ✌️🌎	{'place_id': '7e784e57776a7c42'}
1269361601359908864	2020-12-20T00:26:04.000Z	1340453380313862144	Ooops I sent my friend porn and forgot hes on a date LMAO	{'place_id': '07dccb89e8f25a8f'}
